from,to
PLA,SPD
POF,CDU
POF,DeutscheBahn
PRA,HTWBerlin
PRA,ThinktanksAgora
TIL,CDU
HAS,CSU
HAS,DeutschesRotesKreuz
KAM,CDU
KAM,BDA
KAP,FDP
KAP,BDEW
KEM,BDI
NEM,Telekom
NEM,McKinsey
REI,CDU
REI,VKU
ROE,GRU
ROE,StadtentwässerungDresden
ROE,EnBW
SCHW,DIHT
SCHW,ALBA
SCHW,FDP
GRO,BuirerFürBuir
WOD,CDU
WOD,GrüneZukunftWelzow
WOD,NetzwerkBergbaugeschädigte
HER,SprembergerTuche
KRE,CDU
PRI,GRU
PRI,LEENRW
VAS,SPD
VAS,IGBCE
SCHE,SPD
SCHE,Verdi
SCHE,EON
KOE,SPD
KOE,DGB
KAI,Greenpeace
WEI,BUND
NIE,DNR
NIE,UniversitätZürich
SCHO,BundesagenturFürArbeit
MAT,ÖkoInstitut
SCHH,PotsdamInstitut
SCHH,UniversitätPotsdam
SCHH,SeniorResearchFollow
SCHH,WBGU
SCHH,IPCC
NIEB,UniversitätKiel
WEH,FraunhoferInstitut
WEH,MartinLuterUniversität
LAE,CDU
LEN,CSU
MIE,SPD
PLA,Kohlekommission
POF,Kohlekommission
PRA,Kohlekommission
TIL,Kohlekommission
HAS,Kohlekommission
KAM,Kohlekommission
KAP,Kohlekommission
KEM,Kohlekommission
NEM,Kohlekommission
REI,Kohlekommission
ROE,Kohlekommission
SCHW,Kohlekommission
GRO,Kohlekommission
WOD,Kohlekommission
HER,Kohlekommission
KRE,Kohlekommission
PRI,Kohlekommission
VAS,Kohlekommission
SCHE,Kohlekommission
KOE,Kohlekommission
KAI,Kohlekommission
WEI,Kohlekommission
NIE,Kohlekommission
SCHO,Kohlekommission
MAT,Kohlekommission
SCHH,Kohlekommission
NIEB,Kohlekommission
WEH,Kohlekommission
LAE,Kohlekommission
LEN,Kohlekommission
MIE,Kohlekommission
